enviroment, gi, w, q, x, y
Environment.FREE_SPACE,4e-06,1000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999994, 0.999988, 0.999956, 0.999626, 0.998626, 0.995014, 0.988712, 0.976132, 0.91524, 0.848192, 0.7214, 0.614, 0.49399]"

Environment.FREE_SPACE,4e-06,1000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999994, 0.999984, 0.999926, 0.999768, 0.998166, 0.994966, 0.982606, 0.965686, 0.935332, 0.82024, 0.71378, 0.549166, 0.4328, 0.316846]"

Environment.FREE_SPACE,4e-06,1000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999986, 0.999944, 0.999708, 0.999204, 0.99764, 0.987178, 0.969822, 0.925612, 0.87518, 0.79985, 0.59514, 0.457742, 0.291882, 0.200072, 0.126036]"

Environment.FREE_SPACE,4e-06,1000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 0.999998, 1.0, 0.999988, 0.999854, 0.999448, 0.997658, 0.994592, 0.987226, 0.94864, 0.90067, 0.799474, 0.710086, 0.596924, 0.359842, 0.239968, 0.12558, 0.0749, 0.04027]"

Environment.FREE_SPACE,4e-06,1000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 0.999998, 0.99999, 0.999958, 0.999882, 0.998792, 0.996372, 0.987546, 0.974428, 0.950188, 0.852482, 0.757352, 0.601522, 0.48589, 0.365774, 0.173566, 0.097596, 0.04145, 0.021418, 0.010018]"

Environment.FREE_SPACE,4e-06,2000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999996, 0.999982, 0.999864, 0.99947, 0.99777, 0.994602, 0.987258, 0.948778, 0.900482, 0.79888, 0.70902, 0.595352]"

Environment.FREE_SPACE,4e-06,2000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999994, 0.999986, 0.999908, 0.999234, 0.997606, 0.990734, 0.980892, 0.961022, 0.878938, 0.79283, 0.647844, 0.534698, 0.41316]"

Environment.FREE_SPACE,4e-06,2000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99999, 0.999984, 0.999906, 0.999636, 0.998988, 0.993368, 0.983756, 0.955068, 0.919902, 0.863438, 0.68902, 0.558526, 0.38421, 0.278014, 0.185202]"

Environment.FREE_SPACE,4e-06,2000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.999994, 0.99994, 0.999794, 0.999, 0.997314, 0.993456, 0.970648, 0.93811, 0.862864, 0.788766, 0.690026, 0.459294, 0.325782, 0.184052, 0.117736, 0.066866]"

Environment.FREE_SPACE,4e-06,2000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 0.999994, 0.999992, 0.99994, 0.999466, 0.99835, 0.993794, 0.98679, 0.971334, 0.90348, 0.828814, 0.696304, 0.587936, 0.464828, 0.244486, 0.149676, 0.06957, 0.03853, 0.018678]"

Environment.FREE_SPACE,4e-06,4000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999958, 0.99983, 0.998966, 0.99752, 0.993976, 0.97195, 0.940474, 0.868042, 0.794898, 0.697726]"

Environment.FREE_SPACE,4e-06,4000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 1.0, 0.999982, 0.999712, 0.99898, 0.99585, 0.990694, 0.979588, 0.92566, 0.86358, 0.74331, 0.640518, 0.521692]"

Environment.FREE_SPACE,4e-06,4000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999992, 0.99997, 0.999874, 0.999666, 0.99706, 0.992218, 0.975614, 0.953476, 0.914766, 0.779426, 0.663664, 0.491366, 0.377912, 0.268574]"

Environment.FREE_SPACE,4e-06,4000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999992, 0.999928, 0.999574, 0.998952, 0.997126, 0.984786, 0.965246, 0.91448, 0.860708, 0.779536, 0.567342, 0.42933, 0.267104, 0.181384, 0.1111]"

Environment.FREE_SPACE,4e-06,4000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.999984, 0.999824, 0.999358, 0.99724, 0.993552, 0.985374, 0.94258, 0.890084, 0.784104, 0.689174, 0.574072, 0.34062, 0.22234, 0.1138, 0.0675, 0.035574]"

Environment.FREE_SPACE,4e-06,8000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99998, 0.999924, 0.99966, 0.998992, 0.997302, 0.985712, 0.967504, 0.9193, 0.866368, 0.7888]"

Environment.FREE_SPACE,4e-06,8000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999992, 0.999912, 0.999566, 0.998358, 0.995884, 0.99031, 0.958728, 0.915836, 0.82629, 0.74109, 0.632138]"

Environment.FREE_SPACE,4e-06,8000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99999, 0.99998, 0.999964, 0.99986, 0.99886, 0.996466, 0.987812, 0.975176, 0.950908, 0.855102, 0.760368, 0.604434, 0.490184, 0.369466]"

Environment.FREE_SPACE,4e-06,8000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999974, 0.999868, 0.999586, 0.998756, 0.992776, 0.981832, 0.950908, 0.913706, 0.855438, 0.676644, 0.541736, 0.369642, 0.266766, 0.17622]"

Environment.FREE_SPACE,4e-06,8000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 0.999998, 0.999998, 0.999998, 0.999916, 0.999776, 0.998942, 0.99714, 0.993026, 0.968994, 0.934744, 0.85765, 0.782294, 0.682062, 0.450362, 0.316278, 0.179346, 0.113534, 0.064206]"

Environment.FREE_SPACE,4e-06,16000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999996, 0.999988, 0.999854, 0.999614, 0.999016, 0.99349, 0.983814, 0.954522, 0.91955, 0.863084]"

Environment.FREE_SPACE,4e-06,16000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 1.0, 0.99996, 0.999872, 0.999314, 0.998462, 0.995718, 0.9788, 0.953002, 0.891582, 0.826672, 0.736228]"

Environment.FREE_SPACE,4e-06,16000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999996, 0.999994, 0.99997, 0.99959, 0.998656, 0.994694, 0.98797, 0.97471, 0.912354, 0.841372, 0.711382, 0.606442, 0.483036]"

Environment.FREE_SPACE,4e-06,16000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999996, 0.99999, 0.999968, 0.99987, 0.99958, 0.996818, 0.991522, 0.973938, 0.951526, 0.911804, 0.77417, 0.656492, 0.483786, 0.37003, 0.261908]"

Environment.FREE_SPACE,4e-06,16000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 0.999998, 1.0, 0.99998, 0.999942, 0.99963, 0.998952, 0.99706, 0.984314, 0.964508, 0.913628, 0.859086, 0.778408, 0.565596, 0.427454, 0.266502, 0.179322, 0.110692]"

Environment.FREE_SPACE,8e-06,1000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999996, 0.999986, 0.999834, 0.999486, 0.997692, 0.994542, 0.987356, 0.948418, 0.900002, 0.800328, 0.708826, 0.595068]"

Environment.FREE_SPACE,8e-06,1000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999958, 0.999902, 0.999284, 0.997552, 0.991112, 0.98096, 0.961762, 0.879406, 0.793304, 0.64679, 0.534554, 0.411696]"

Environment.FREE_SPACE,8e-06,1000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999968, 0.999878, 0.999658, 0.998984, 0.993746, 0.983868, 0.955218, 0.92021, 0.863924, 0.689196, 0.557946, 0.382698, 0.276816, 0.185618]"

Environment.FREE_SPACE,8e-06,1000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999958, 0.999786, 0.999016, 0.997386, 0.993396, 0.969972, 0.93804, 0.86283, 0.789946, 0.68964, 0.457994, 0.325634, 0.185626, 0.117738, 0.067252]"

Environment.FREE_SPACE,8e-06,1000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 0.999994, 0.999994, 0.99996, 0.99949, 0.998296, 0.993582, 0.986408, 0.97107, 0.90361, 0.828628, 0.6947, 0.58514, 0.465436, 0.245532, 0.149514, 0.06978, 0.038802, 0.018564]"

Environment.FREE_SPACE,8e-06,2000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999998, 0.999994, 0.999946, 0.99983, 0.999044, 0.997564, 0.993904, 0.971866, 0.940278, 0.867946, 0.79562, 0.69786]"

Environment.FREE_SPACE,8e-06,2000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999996, 0.999986, 0.99965, 0.999014, 0.995826, 0.990518, 0.97959, 0.925458, 0.863124, 0.74423, 0.641034, 0.521566]"

Environment.FREE_SPACE,8e-06,2000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999994, 0.999958, 0.999888, 0.9996, 0.997072, 0.992114, 0.975906, 0.95362, 0.914564, 0.78018, 0.663094, 0.491808, 0.377788, 0.26725]"

Environment.FREE_SPACE,8e-06,2000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99998, 0.999918, 0.999644, 0.998882, 0.997198, 0.984608, 0.964906, 0.914102, 0.860026, 0.779806, 0.566854, 0.430042, 0.268552, 0.18024, 0.111658]"

Environment.FREE_SPACE,8e-06,2000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 0.999998, 0.999996, 0.999988, 0.99981, 0.999366, 0.997276, 0.993408, 0.985056, 0.942968, 0.889988, 0.782972, 0.688528, 0.573894, 0.339622, 0.223396, 0.11428, 0.067598, 0.035034]"

Environment.FREE_SPACE,8e-06,4000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999992, 0.999926, 0.999642, 0.99904, 0.997294, 0.986272, 0.967958, 0.919802, 0.8667, 0.788444]"

Environment.FREE_SPACE,8e-06,4000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999992, 0.999894, 0.99965, 0.998382, 0.995862, 0.990024, 0.958312, 0.91644, 0.827172, 0.741688, 0.631888]"

Environment.FREE_SPACE,8e-06,4000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999978, 0.999958, 0.999842, 0.99887, 0.996542, 0.988038, 0.975508, 0.95087, 0.854892, 0.759398, 0.604224, 0.490486, 0.368622]"

Environment.FREE_SPACE,8e-06,4000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999996, 0.999974, 0.99988, 0.999608, 0.998912, 0.992776, 0.98202, 0.951088, 0.91418, 0.854454, 0.677314, 0.543476, 0.369596, 0.266524, 0.17523]"

Environment.FREE_SPACE,8e-06,4000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.999994, 0.999932, 0.999784, 0.99892, 0.997198, 0.99315, 0.968864, 0.935276, 0.85847, 0.78302, 0.682458, 0.44952, 0.317208, 0.179354, 0.112816, 0.06427]"

Environment.FREE_SPACE,8e-06,8000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999994, 0.999966, 0.999902, 0.999672, 0.998988, 0.993614, 0.983608, 0.955052, 0.919532, 0.863432]"

Environment.FREE_SPACE,8e-06,8000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999994, 0.99996, 0.999868, 0.999386, 0.998262, 0.995728, 0.978814, 0.952362, 0.891252, 0.826526, 0.736894]"

Environment.FREE_SPACE,8e-06,8000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999996, 0.99999, 0.999962, 0.999558, 0.998588, 0.99448, 0.98802, 0.974456, 0.91119, 0.841332, 0.711464, 0.606162, 0.484046]"

Environment.FREE_SPACE,8e-06,8000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.999994, 0.999964, 0.999826, 0.999598, 0.997014, 0.991644, 0.974648, 0.951196, 0.911152, 0.773774, 0.655452, 0.483724, 0.37156, 0.262948]"

Environment.FREE_SPACE,8e-06,8000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999978, 0.99994, 0.999572, 0.998932, 0.997172, 0.984474, 0.964728, 0.913472, 0.857946, 0.778158, 0.565762, 0.425118, 0.265668, 0.179896, 0.109824]"

Environment.FREE_SPACE,8e-06,16000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.99997, 0.999894, 0.999606, 0.997304, 0.992512, 0.97651, 0.95533, 0.91728]"

Environment.FREE_SPACE,8e-06,16000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 1.0, 0.999988, 0.999944, 0.999782, 0.999396, 0.99819, 0.989864, 0.975792, 0.935966, 0.89228, 0.823944]"

Environment.FREE_SPACE,8e-06,16000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999998, 0.99999, 0.99988, 0.999452, 0.997906, 0.99471, 0.98758, 0.949504, 0.902672, 0.803606, 0.713676, 0.600202]"

Environment.FREE_SPACE,8e-06,16000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999992, 0.999964, 0.999856, 0.998826, 0.996302, 0.987594, 0.974326, 0.950282, 0.85239, 0.756748, 0.600794, 0.485778, 0.365804]"

Environment.FREE_SPACE,8e-06,16000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99999, 0.999966, 0.999876, 0.999598, 0.99891, 0.99291, 0.982462, 0.951882, 0.913588, 0.854766, 0.678116, 0.544224, 0.370206, 0.268256, 0.176162]"

